"","data_aet","data_tmax","data_tmin","data_ws","data_ppt"
"339",9,26.71,12.9,4.75,9.5
"340",12,25.57,12.02,3.62,12.6
"341",9.2,23.25,10.49,3.07,9.7
"342",61.5,19.79,9.28,4.07,80.2
"343",41.9,19.06,8.17,3.21,38.3
"344",43.5,20.26,9.39,3.58,43.2
"345",18.8,22.73,9.61,4.43,18.3
"346",6,24.31,10.64,4.45,5.3
"347",5.2,26.31,12.31,5.23,4.7
"348",0.7,28.95,14.23,5.53,0.2
"349",4.9,27.72,13.78,4.55,4.7
"350",3.7,28.18,13.79,4.9,3.6
"351",1.3,27.74,13.82,4.87,1
"352",35.8,25.4,11.4,3.44,37.4
"353",30.4,24.26,11.74,3.31,31.8
"354",40.2,20.53,8.48,3.54,42.1
"355",48.8,19.32,8.26000000000001,3.78,51.3
"356",41.3,20.69,8.48,3.79,43.3
"357",32,21.01,9.5,4.81,33.6
"358",1.7,24.47,10.96,4.78,1.7
"359",1.3,25.81,12.02,5.09,1.2
"360",8.1,27.4,13.61,4.85,8.5
"361",1.1,28.54,14.05,5.02,1.1
"362",3.2,30.65,15.79,5.13,3.3
"363",6.3,27.83,14.94,3.97,6.6
"364",44.6,24.06,11.51,4.48,46.9
"365",14.8,23.16,11.2,3.08,15.5
"366",40.4,19.61,8,3.71,42.5
"367",15.6,18.83,7.28,2.97,16.4
"368",33.6,21.51,9.2,3.44,35.3
"369",18.4,21.47,8.52,4.57,19.3
"370",3.4,22.79,9.69,4.81,3.5
"371",2.3,27.47,13.02,5.25,2.4
"372",7.2,28.74,14.22,5.52,7.6
"373",0.6,29.23,15.29,4.33,0.6
"374",5.4,29.21,15.33,4.96,5.7
"375",14.1,27.38,13.91,4.81,14.9
"376",29.5,26.35,12.71,4.12,31.1
"377",17,21.68,9.68000000000001,2.84,17.9
"378",28.2,19.64,8.02,3.07,29.7
"379",40.1,18.27,7.29000000000001,3.43,42.2
"380",46.2,19.96,8.49000000000001,3.34,48.6
"381",28.8,21.37,9,4.31,30.3
"382",10.7,23.12,8.83,4.94,11.3
"383",8.7,26.5,12.74,5.3,9.1
"384",0.8,28.12,13.93,5.29,0.8
"385",3.3,29.35,14.38,4.75,3.5
"386",6.4,29.33,15.72,4.71,6.7
"387",0.3,28.04,14.12,4.5,0.3
"388",67,23.93,12.27,3.97,70.5
"389",45.7,22.42,9.78,3.1,48
"390",43.6,18.6,6.91,3.18,45.8
"391",48,17.55,7.13,3.41,50.5
"392",10,20.11,7.57000000000001,4.08,10.5
"393",2.2,23.36,8.84,4.38,2.3
"394",0.3,24.13,9.55,5.32,0.3
"395",3,25.65,11.79,5.39,3.1
"396",4.6,28.2,14.03,4.85,4.9
"397",2.8,28.75,13.66,4.9,2.9
"398",2.1,28.01,13.66,4.91,2.2
"399",2.8,28.23,14.12,4.67,2.9
"400",8.8,27.13,12.08,3.91,9.3
"401",20,23.45,10.48,3.7,21.1
"402",45.3,19.42,8.07000000000001,4.06,47.6
"403",62.5,18.32,8.59,3.82,85.7
"404",17.1,18.67,6.84,3.65,9.3
"405",40.1,20.67,9.10000000000001,4.63,39
"406",33,22.76,11.29,4.67,32.9
"407",5,26.43,12.2,5.29,4.1
"408",1.6,28.46,13.39,5.31,0.9
"409",0.6,29.24,14.75,5.32,0
"410",6.1,28.34,14.59,4.97,6
"411",11.5,28.37,14.5,5.01,11.7
"412",13.3,24.81,11.4,3.89,13.7
"413",17.4,21.38,9.22,2.91,18.1
"414",45.4,19.62,7.8,4.11,47.6
"415",32.5,19.01,7.84,3.51,34.1
"416",19.9,19.86,8,3.66,20.8
"417",12,21.52,8.52,4.13,12.5
"418",21.8,22.81,10.59,5.15,22.8
"419",2.3,26.17,12.74,5.04,2.3
"420",0.6,27.52,13.39,5.3,0.5
"421",0.8,30.01,14.81,5.17,0.7
"422",7.3,28.45,13.51,4.69,7.7
"423",4.4,29.35,14.88,4.91,4.6
"424",58.4,23.86,11.58,4.5,61.4
"425",61.4,20.56,10.44,2.68,64.6
"426",38.6,19.94,8.08,3.04,40.6
"427",61.9,20.39,10.04,4.58,65.1
"428",27.7,20.84,8.7,3.52,29.1
"429",3.4,23.65,9.14,4.07,3.6
"430",0.4,25.54,11.06,4.74,0.4
"431",3.1,27.59,13.1,5.32,3.3
"432",6,28.14,14.12,5.78,6.3
"433",1.6,29.17,15.01,4.98,1.7
"434",0.3,30.15,15.01,5.04,0.3
"435",6.5,27.78,14.69,4.23,6.8
"436",21.5,26.32,13.07,3.99,22.6
"437",10.4,22.39,8.83,2.65,10.9
"438",61.4,18.69,7.96000000000001,4.34,87.8
"439",46.1,19.25,6.89,3.33,37.1
"440",8.3,20.68,7.61,3.41,5.1
"441",20.5,22.59,9.5,4.62,19.6
"442",8.6,25.09,10.66,4.97,7.8
"443",1.7,26.5,12.66,5.03,0.9
"444",1.9,28.97,14.13,5.27,1.4
"445",8.4,29.49,14.96,4.63,8.3
"446",1.9,30.95,15.54,5.05,1.6
"447",13.4,28.76,14.52,4.73,13.8
"448",4.2,25.47,11,4.37,4.2
"449",28.8,23.36,10.63,3.13,30.1
"450",36.2,20.23,7.91,3.17,37.9
"451",45.8,17.66,6.39,3.26,48.1
"452",36.3,20.42,7.72,3.41,38.1
"453",13.7,21.94,9.29000000000001,3.88,14.3
"454",28.4,21.76,9.71000000000001,4.74,29.8
"455",11.5,26.03,12.64,5.37,12.1
"456",17,27.49,14.29,4.93,17.8
"457",2.6,29.33,15.4,4.74,2.6
"458",11.8,29.11,14.67,5.23,12.3
"459",6.4,27.1,13,4.86,6.7
"460",15.3,26.64,12.73,4.37,16
"461",24.8,22.95,10.78,3.15,26.1
"462",44.7,20.16,8.71000000000001,4.19,47
"463",61.8,16.88,7.13,4,66.7
"464",50.4,18.26,7.2,3.99,52.9
"465",53.6,19.19,8.32000000000001,4.32,56.2
"466",26,22.27,10.27,5.13,27.2
"467",22.3,22.66,11,5.57,23.3
"468",9.2,26.81,13.36,5.54,9.5
"469",3.9,28.51,14.23,5.14,4
"470",0.8,27.98,13.72,5.68,0.7
"471",9.6,26.66,13.07,4.41,10
"472",24.1,24.2,10.72,3.74,25.3
"473",39.2,22.44,9.89,3.4,41.2
"474",58.9,18.42,7.95,4.04,77.9
"475",16.3,20.23,8.35000000000001,3.55,10.6
"476",28.3,20.28,9.08,3.57,27
"477",3.7,24.43,10.77,3.96,2.3
"478",4.6,26.51,12.38,4.95,3.8
"479",24.5,24.89,12.42,5.28,25.1
"480",3.3,28.09,14.13,5.17,3
"481",5.6,28.3,14.31,5.09,5.4
